time,row,user,id,mutator,watermark,mutation_A,mutation_B,choice
1723245867.1676905,0,jason,1948070459,SentenceMutator,umd,20,0,answer1
1723247125.5733995,3,Fabrice,305100096,SentenceMutator,semstamp_lsh,0,10,tie
1723247147.1299176,4,Fabrice,3350112753,WordMutator,umd,1,0,tie
1723247255.8558252,5,Fabrice,3766590058,WordMutator,umd,10,0,answer2
1723247280.883252,6,Fabrice,408131242,SpanMutator,umd,0,20,skipped
1723247303.2085576,7,Fabrice,389133706,SpanMutator,semstamp_lsh,20,0,answer2
1723247335.3210745,8,Fabrice,2480759274,WordMutator,umd,0,1,tie
1723256538.2948043,2,Connor,3685312925,SpanMutator,semstamp_lsh,0,20,answer1
1723256673.441442,10,Connor,3103610995,WordMutator,umd,20,0,answer2
1723256846.342878,11,Connor,2549952481,SentenceMutator,semstamp_lsh,0,10,answer1
1723256959.524142,12,Connor,514298844,SpanMutator,semstamp_lsh,20,0,answer2
1723256989.3639283,13,Connor,321469753,WordMutator,umd,0,1,answer1
1723257067.241138,14,Connor,748106145,SpanMutator,umd,10,0,tie
1723257289.0189304,15,Connor,2363080554,SentenceMutator,umd,0,10,tie
1723257526.5956657,16,Connor,1335123275,SpanMutator,umd,10,0,answer2
1723257579.2580197,17,Connor,4292346386,SentenceMutator,umd,0,20,answer1
1723257656.0547252,18,Connor,3766590058,SentenceMutator,umd,20,0,answer2
1723257795.9788966,19,Connor,1586391092,WordMutator,umd,20,0,answer2
1723257836.8326693,20,Connor,4267665021,WordMutator,umd,0,20,answer1
1723257853.408081,21,Connor,2046128425,SpanMutator,semstamp_lsh,0,1,tie
1723257866.3638911,22,Connor,626039013,WordMutator,semstamp_lsh,1,0,answer2
1723257875.2077374,23,Connor,408131242,SentenceMutator,umd,20,0,skipped
1723257928.1181889,24,Connor,78956673,SpanMutator,semstamp_lsh,0,10,answer1
1723259138.1367223,25,Connor,2753526163,SentenceMutator,umd,1,0,answer2
