total_sentences,candidate_text,passed_margin_test,candidate_text_lsh,accept_mask,one_sentence,current_num_tries
1,"

It was a busy Monday morning for Emily, the marketing manager at a large corporation.",True,3,"1,4",True,1
2,"

As I stepped into the office, my boss greeted me with a frazzled expression. """,True,0,"1,4",True,2
3,"

As I walked into the cozy little café, the aroma of freshly brewed coffee and baked goods enveloped me, instantly lifting my mood.",True,1,"1,4",True,3
4," It was a typical Monday morning, and I needed a boost to tackle the busy day ahead.",True,3,"6,2",True,1
5," I had been feeling overwhelmed with work and life in general, and my friend Sarah had suggested we meet here for a much-needed break.

",True,7,"6,2",True,2
6," It was a typical Monday morning, and I was running late for work.",True,3,"6,2",True,3
7," It was a chilly autumn morning, and I had decided to take a break from work to treat myself to a warm cup of joe.

",True,1,"6,2",True,4
8," I had been struggling to get out of bed that morning, but the prospect of meeting Sarah here for our weekly catch-up session was just what I needed.

",True,3,"6,2",True,5
9," I was meeting Emily, my best friend since college, for our weekly catch-up session.",True,7,"6,2",True,6
10, I had been running errands all morning and was in desperate need of a break.,True,7,"6,2",True,7
11," It was a typical Monday morning, and I had just gotten off a chaotic phone call with a client.",True,3,"6,2",True,8
12," It was a chilly winter morning, and I had been looking forward to this break all week.",True,3,"6,2",True,9
13," It was a typical Monday morning, and I had just finished a chaotic week of meetings and deadlines.",True,3,"6,2",True,10
14," It was a typical Monday morning, and I needed a boost to get through the day.",True,3,"6,2",True,11
15," It was a drizzly Wednesday morning, and I needed a pick-me-up to tackle the day ahead.",True,1,"6,2",True,12
16," I was there to meet Sarah, my best friend since college.",False,,,,13
17," It was a chilly autumn morning, and the warm atmosphere inside was just what I needed to start my day off right.

",True,1,"6,2",True,14
18," It was a typical Monday morning, and I had just arrived at my favorite spot to get some work done before the hustle and bustle of the day began.

",False,,,,15
19," I was meeting Emma, my best friend since college, for our monthly catch-up session.",True,7,"6,2",True,16
20," It was a typical Monday morning, and I needed a boost to tackle the busy day ahead.",True,3,"6,2",True,17
