mutation_num,prompt,mutated_text,watermark_score,quality,perplexity,grammar
0,"for story can you add in the denim overalls and hood, correctional officers look at all 16 Buckle.","I would be glad to insert this detail into our story.

Here is the revised version: I accompanied my client, Jack, on his visit to the high-security prison. We passed through several metal detectors and security checkpoints. The stern-faced guard examined us closely, scrutinizing our clothing with an air of suspicion.

Jack, still adjusting to his new status as a felon, was dressed in the standard-issue denim overalls provided by the prison—light blue and worn at the knees from all the labor he performed in the yard. His hair had been neatly trimmed, as required by prison regulations, but he kept trying to pull up the straps of his overalls, which kept slipping down and revealing his bright orange undershirt.

Our group leader handed the guards at the entrance a stack of preprinted visitor passes. When it was my turn, one of the guards reached for my papers. She leafed through the pages of my temporary badge, pausing at the paragraph on clothing standards.

My blue denim jacket with its copper-buckled leather belt and its sixteen rivets were judged perfectly harmless for this visit.

The female guard, Officer Martinez, pursed her lips as she studied my jacket. “All right,” she said. The other guard, Officer Smith, double-checked everything and also nodded her approval.",2.762359612836575,0.66357421875,33.40745162963867,0
1,"for story can you add in the denim overalls and hood, correctional officers look at all 16 Buckle.","I am happy to insert this detail in our narrative.

Here is the revised version: I accompanied my client, Jack, on his visit to the high-security prison. We went through several metal detectors and security checkpoints. The stern-faced guard scrutinized us closely, his eyes probing our clothing with a suspicious air.

Jack, still adjusting to his new status as a convict, was wearing the blue denim overalls issued by the prison—worn out at the knees from all the work he did in the yard. He had his hair cut short, as required by prison regulations, but he was forever trying to pull up the straps of his overalls, which kept slipping down and revealing his bright orange undershirt.

Our group leader handed the guards a stack of preprinted visitor passes. When it was my turn, one of the guards reached for my papers. She leafed through my temporary pass, pausing at the section on dress code regulations.

My blue denim jacket with its leather, copper-buckled belt and sixteen rivets was deemed harmless enough for this visit.

The guard, Officer Martinez, pursed her lips as she studied my jacket. “All right,” she said. The other guard, Officer Smith, checked my pass and nodded her approval.",2.848157299026864,0.453857421875,33.32416534423828,0
2,"for story can you add in the denim overalls and hood, correctional officers look at all 16 Buckle.","I am glad to include this detail in our story.

Here is the revised version. I accompanied my client, Jack, to the high-security prison. We went through several metal-detector checkpoints. The guards inspected us closely, staring at our clothes with suspicious eyes.

Jack, who was still getting used to his new status as a prisoner, was wearing the blue denim overalls issued by the prison. They were worn at the knees from all the work he had done in the yard. He had his hair cut short, as required by prison regulations, and he was forever trying to pull up the straps of his overalls, which kept slipping down and revealing his bright orange undershirt.

Our group leader handed the guards a stack of visitor passes. When it was my turn, one of the guards reached for my papers. She leafed through my temporary pass and stopped at the section on prison regulations.

My blue denim jacket, with its leather, brass-buckled belt and sixteen rivets, was considered harmless enough for this visit.

The guard, Officer Martinez, pursed her lips and studied my jacket. “All right,” she said. The other guard, Officer Smith, examined my pass and nodded her approval.",0.668042657122685,0.5517578125,29.045286178588867,0
3,"for story can you add in the denim overalls and hood, correctional officers look at all 16 Buckle.","I am glad to include this detail in our story.

Here is the revised version. I accompanied my client, Jack, to the high-security prison. We went through several metal-detector checkpoints. The guards inspected us closely, staring at our clothes with suspicious eyes.

Jack, who was still adjusting to his new status as a prisoner, was wearing the blue denim overalls issued by the prison. They were worn at the knees from all the work he had done on the grounds. He had his hair cut short, as is required by the regulations, and he was forever pulling up the straps of his overalls, which kept slipping down and revealing his bright orange undershirt.

Our group leader handed the guards a stack of visitor’s passes. When it was my turn, one of the guards asked for my papers. She leafed through my temporary pass and stopped at the section on prison regulations.

My blue denim jacket, with its leather strap and sixteen brass rivets, was deemed harmless enough for this visit.

The guard, Officer Martinez, pursed her lips and studied my jacket. “All right,” she said. The other guard, Officer Smith, looked over my pass and nodded her approval.",0.3742405942825598,0.56982421875,31.3526611328125,0
3,"for story can you add in the denim overalls and hood, correctional officers look at all 16 Buckle.","I am glad to include this detail in our story.

Here is the revised version. I accompanied my client, Jack, to the maximum-security prison. We went through several metal-detector checkpoints. The guards examined us closely, staring at our clothes with suspicious eyes.

Jack, who was still not used to his new status as a prisoner, was wearing the blue denim overalls that the prison had issued him. They were worn at the knees from all the work he had done in the yard. He had cut his hair short, as the regulations required, and kept trying to pull up the straps of his overalls, which kept slipping down and revealing his orange undershirt.

Our group leader handed the guards a stack of visitor passes. When it was my turn, a guard reached for my papers. She leafed through my temporary pass and stopped at the section on prison regulations.

My blue denim jacket, with its leather strap and buckle and sixteen rivets, was deemed harmless for this visit.

Officer Martnez pursed her lips and studied my jacket. “All right,” she said. Officer Smith examined my pass and nodded her approval.",0.8047217485013147,0.273681640625,32.74352264404297,1
4,"for story can you add in the denim overalls and hood, correctional officers look at all 16 Buckle.","I am glad to be able to include this detail in our story.

Here is the revised version: I accompanied my client, Jack, to the maximum security prison. We passed through several metal-detector checkpoints. The guards examined us closely, staring suspiciously at our clothes.

Jack, who was still not used to his new status as a prisoner, was wearing the denim overalls that the prison had issued him. They were worn at the knees from all the work he had done in the yard. He had cut his hair short, as per regulations. He kept trying to pull up the straps of his overalls, which kept slipping down and exposing his orange undershirt.

Our group leader handed the guards a stack of visitor passes. When it was my turn, one of the guards reached for my papers. She flipped through my temporary pass and stopped at the section on prison regulations.

My blue denim jacket, with its leather strap and buckle and sixteen rivets, was deemed harmless for this visit.

Officer Martnez pursed her lips and studied my jacket. “All right,” she said. Officer Smith inspected my pass and nodded.",1.4593812080208803,0.3212890625,31.814579010009766,1
5,"for story can you add in the denim overalls and hood, correctional officers look at all 16 Buckle.","I am glad to be able to include this detail in our story.

Here is the revised version: I accompanied my client, Jack, to the maximum security prison. We passed through several metal-detector checkpoints. The guards examined us carefully, their eyes suspiciously on our clothes.

Jack, who was still not used to his new status as a prisoner, was wearing the denim overalls that the prison had issued him. They were worn at the knees from all the work he had been doing in the yard. He had cut his hair short, as required. He kept trying to pull up the straps of his overalls, which kept slipping down and showing his orange undershirt.

Our group leader handed the guards a pile of visitor passes. When it was my turn, one of the guards reached for my papers. She leafed through my temporary pass and stopped at the section on prison rules.

My blue denim jacket with its leather strap and buckle and sixteen rivets was found to be harmless.

Officer Martnez pursed her lips and studied my jacket. “All right,” she said. Officer Smith examined my pass and nodded.",1.962990915244728,0.234375,32.93407440185547,1
6,"for story can you add in the denim overalls and hood, correctional officers look at all 16 Buckle.","I am glad to be able to tell this detail of our story.

Here is the revised version. I accompanied my client, Jack, to the maximum-security prison. We went through several metal-detector checkpoints. The guards scrutinized us closely, their eyes suspiciously on our clothing.

Jack, who had not yet grown accustomed to his new status as a prisoner, was wearing the denim overalls issued by the prison. They were worn at the knees from all the work he had done in the yard. He had cut his hair as required. He kept trying to pull the straps of his overalls, which kept slipping down and revealing his orange undershirt.

Our leader gave the guards a stack of visitor passes. When it was my turn, one of the guards reached for my papers. She leafed through my temporary pass and stopped at the section on prison rules.

My blue denim jacket with its leather strap and buckle and sixteen rivets was found to be harmless.

Officer Martnez pursed her lips and studied my jacket. “All right,” she said. Officer Smith examined my pass and nodded.",2.491196621316873,-0.044677734375,32.807655334472656,1
7,"for story can you add in the denim overalls and hood, correctional officers look at all 16 Buckle.","I am glad to be able to tell this detail of our story.

Here is the revised version. I accompanied my client, Jack, to the maximum security prison. We passed through several metal-detector checkpoints. The guards looked us over carefully, their eyes suspiciously on our clothes.

Jack, who had not yet gotten used to his new status as a prisoner, was wearing the denim overalls issued by the prison. They were worn at the knees from all the work he had done in the yard. He had cut his hair to the regulation length. He kept trying to pull up the straps of his overalls, which kept slipping down and showing his orange undershirt.

Our guide gave the guards a stack of visitor’s permits. When it was my turn, one of the guards reached for my papers. She leafed through my temporary permit and stopped at the section on prison rules.

My blue denim jacket with its leather strap and buckle and sixteen rivets proved harmless.

Officer Martnez pursed her lips and studied my jacket. “All right,” she said. Officer Smith examined my permit and nodded.",0.582551728035463,0.14501953125,36.52524185180664,1
8,"for story can you add in the denim overalls and hood, correctional officers look at all 16 Buckle.","I am glad to be able to tell this detail of our story.

Here is the revised version. I accompanied my client, Jack, to the maximum-security prison. We went through several metal-detector checkpoints. The guards examined us carefully, their eyes suspiciously examining our clothing.

Jack, who had not yet gotten used to his new status as a prisoner, was wearing the denim overalls issued by the prison. They were worn at the knees from all the work he had done in the yard. He had cut his hair to the regulation length. He was constantly trying to pull up the straps of his overalls, which kept slipping down and showing his orange undershirt.

Our guide handed the guards a pile of visitor passes. When it was my turn, one of them reached for my papers. She leafed through my temporary pass and stopped at the rules of the prison.

My blue denim jacket with its leather strap and buckle, and sixteen rivets, was harmless.

Officer Martnez pursed her lips as she examined my jacket. “All right,” she said. Officer Smith examined my pass and nodded.",1.4724700907550443,0.0732421875,32.565731048583984,1
